class_name,target,t_statistic,p_value_ttest,cohen_d,mean_confidence_took,mean_confidence_not_took,mean_diff,n_took,n_not_took,p_fdr_ttest,significant_fdr_ttest
CS16,stat.comf,-0.2808847273911777,0.7803320281586434,-0.08266819632363476,4.0,4.066666666666666,-0.06666666666666643,21,30,0.9740679622140485,False
rsrch,stat.comf,-0.4993502271458856,0.6208044773842437,-0.14611900125320104,4.0,4.117647058823529,-0.117647058823529,34,17,0.9740679622140485,False
PSTAT120,stat.comf,-0.4643995234859514,0.6708180754448946,-0.2842381363402923,4.0212765957446805,4.25,-0.22872340425531945,47,4,0.9740679622140485,False
CS9,stat.comf,-1.065686969462132,0.2974406554233706,-0.3217598747584486,3.973684210526316,4.230769230769231,-0.2570850202429149,38,13,0.8498304440667732,False
ECON145,stat.comf,-1.0941437673974035,0.45717852440697826,-0.702019615978527,3.5,4.061224489795919,-0.5612244897959187,2,49,0.9740679622140485,False
PSTAT131,stat.prof,2.476559942282368,0.016848744724872355,0.646233563477007,1.8095238095238095,1.4333333333333333,0.3761904761904762,21,30,0.16848744724872355,False
PSTAT160,stat.prof,1.9450937554380594,0.06109972446893563,0.6014641754900173,1.7333333333333334,1.380952380952381,0.35238095238095246,30,21,0.40733149645957084,False
PSTAT126,stat.prof,0.9519160460045787,0.3746373267392516,0.5849067008959778,1.6363636363636365,1.2857142857142858,0.35064935064935066,44,7,0.7492746534785032,False
PSTAT134,stat.prof,1.4555562743489543,0.18142564044142068,0.4590188606293694,1.8333333333333333,1.5555555555555556,0.2777777777777777,6,45,0.5183589726897734,False
PSTAT100,stat.prof,1.5013646137975032,0.13979645717049086,0.39424311227838527,1.736842105263158,1.5,0.23684210526315796,19,32,0.4757140681141175,False
PSTAT174,stat.prof,1.494109984198361,0.14271422043423523,0.3917167713865559,1.75,1.5142857142857142,0.23571428571428577,16,35,0.4757140681141175,False
CS130,stat.prof,1.0676394828420035,0.3279259004860868,0.3862535832813328,1.8,1.565217391304348,0.23478260869565215,5,46,0.7358645448012585,False
PSTAT115,stat.prof,1.0114762230416257,0.33113904516056636,0.3156373963744669,1.75,1.558139534883721,0.19186046511627897,8,43,0.7358645448012585,False
CS165,stat.prof,0.6606725047357771,0.5465052518318481,0.28770626079412925,1.75,1.574468085106383,0.17553191489361697,4,47,0.7807217883312115,False
PSTAT122,stat.prof,0.6515173894966281,0.526527511314323,0.2804400753280915,1.625,1.4545454545454546,0.17045454545454541,40,11,0.7807217883312115,False
rsrch,stat.prof,0.48103900015775275,0.6338493602848048,0.14452202432768366,1.6176470588235294,1.5294117647058822,0.08823529411764719,34,17,0.8451324803797396,False
LING104,stat.prof,-0.18094945979453111,0.8847056931403421,-0.15012515646733085,1.5,1.5918367346938775,-0.09183673469387754,2,49,0.8847056931403421,False
LING110,stat.prof,-0.18094945979453111,0.8847056931403421,-0.15012515646733085,1.5,1.5918367346938775,-0.09183673469387754,2,49,0.8847056931403421,False
LING111,stat.prof,-0.18094945979453111,0.8847056931403421,-0.15012515646733085,1.5,1.5918367346938775,-0.09183673469387754,2,49,0.8847056931403421,False
ECON145,stat.prof,-0.18094945979453111,0.8847056931403421,-0.15012515646733085,1.5,1.5918367346938775,-0.09183673469387754,2,49,0.8847056931403421,False
PSTAT127,stat.prof,-0.18094945979453111,0.8847056931403421,-0.15012515646733085,1.5,1.5918367346938775,-0.09183673469387754,2,49,0.8847056931403421,False
CS16,stat.prof,-0.6340404442339619,0.5293521970857054,-0.17968593326982862,1.5238095238095237,1.6333333333333333,-0.10952380952380958,21,30,0.7807217883312115,False
PSTAT120,stat.prof,-0.6606725047357771,0.5465052518318481,-0.28770626079412925,1.574468085106383,1.75,-0.17553191489361697,47,4,0.7807217883312115,False
CS9,stat.prof,-1.5123705369331915,0.140586976439171,-0.4032456099804936,1.5263157894736843,1.7692307692307692,-0.24291497975708487,38,13,0.4757140681141175,False
CS5,stat.prof,-7.071067811865476,5.722202273302365e-09,-1.0206207261596578,1.0,1.6122448979591837,-0.6122448979591837,2,49,1.144440454660473e-07,True
